Time,DriverNumber,LapTime,LapNumber,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,SpeedI1,SpeedI2,SpeedFL,SpeedST,Compound,TyreLife
0 days 00:11:52.496000,3,"",1,0 days 00:10:16.939000,0 days 00:11:48.976000,"",0 days 00:00:43.265000,0 days 00:00:31.357000,235.0,204.0,"",197.0,hard,1.0
0 days 00:36:57.368000,3,"",2,0 days 00:35:18.580000,0 days 00:36:53.864000,"",0 days 00:00:42.197000,0 days 00:00:35.774000,267.0,160.0,"",235.0,intermediate,1.0
0 days 00:38:55.220000,3,0 days 00:01:57.852000,3,0 days 00:37:10.460000,0 days 00:38:51.709000,0 days 00:00:34.819000,0 days 00:00:44.973000,0 days 00:00:38.060000,204.0,135.0,"",195.0,intermediate,2.0
0 days 00:47:50.605000,3,"",4,0 days 00:46:28.429000,"","",0 days 00:00:37.568000,0 days 00:00:25.626000,285.0,186.0,277.0,267.0,medium,1.0
0 days 00:48:57.514000,3,0 days 00:01:06.909000,5,"","",0 days 00:00:16.920000,0 days 00:00:29.481000,0 days 00:00:20.508000,309.0,245.0,282.0,309.0,medium,2.0
0 days 00:50:48.474000,3,0 days 00:01:50.960000,6,"","",0 days 00:00:27.675000,0 days 00:00:50.891000,0 days 00:00:32.394000,102.0,175.0,280.0,121.0,medium,3.0
0 days 00:52:02.138000,3,0 days 00:01:13.664000,7,"","",0 days 00:00:16.614000,0 days 00:00:30.252000,0 days 00:00:26.798000,320.0,221.0,272.0,321.0,medium,4.0
0 days 00:53:08.967000,3,0 days 00:01:06.829000,8,"","",0 days 00:00:16.810000,0 days 00:00:29.710000,0 days 00:00:20.309000,311.0,237.0,284.0,315.0,medium,5.0
0 days 00:55:00.034000,3,0 days 00:01:51.067000,9,"","",0 days 00:00:27.572000,0 days 00:00:55.104000,0 days 00:00:28.391000,86.0,166.0,279.0,147.0,medium,6.0
0 days 00:56:06.684000,3,0 days 00:01:06.650000,10,"","",0 days 00:00:16.732000,0 days 00:00:29.657000,0 days 00:00:20.261000,312.0,243.0,288.0,310.0,medium,7.0
0 days 00:57:45.495000,3,0 days 00:01:38.811000,11,"","",0 days 00:00:27.535000,0 days 00:00:47.787000,0 days 00:00:23.489000,184.0,212.0,282.0,123.0,medium,8.0
0 days 00:58:51.570000,3,0 days 00:01:06.075000,12,"","",0 days 00:00:16.645000,0 days 00:00:29.277000,0 days 00:00:20.153000,310.0,244.0,283.0,310.0,medium,9.0
0 days 00:59:58.364000,3,0 days 00:01:06.794000,13,"","",0 days 00:00:16.601000,0 days 00:00:29.858000,0 days 00:00:20.335000,313.0,240.0,284.0,310.0,medium,10.0
0 days 01:01:23.370000,3,0 days 00:01:25.006000,14,"",0 days 01:01:19.909000,0 days 00:00:18.844000,0 days 00:00:37.616000,0 days 00:00:28.546000,275.0,210.0,"",199.0,medium,11.0
0 days 01:14:55.751000,3,"",15,0 days 01:13:36.714000,"","",0 days 00:00:36.079000,0 days 00:00:22.985000,243.0,216.0,279.0,291.0,medium,12.0
0 days 01:16:02.033000,3,0 days 00:01:06.282000,16,"","",0 days 00:00:16.819000,0 days 00:00:29.368000,0 days 00:00:20.095000,307.0,244.0,285.0,308.0,medium,13.0
0 days 01:17:36.080000,3,0 days 00:01:34.047000,17,"","",0 days 00:00:24.242000,0 days 00:00:43.201000,0 days 00:00:26.604000,182.0,146.0,283.0,238.0,medium,14.0
